ticker,shortName,sector,industry,rank,score_FINAL_adj,rating,data_completeness,score_valuation,score_profitability,score_growth,score_financial,score_fundamental_momentum,score_income,revenue_trend,ebitda_trend,margin_trend,debt_trend,fcf_trend,earnings_consistency,revenue_r2,ebitda_r2,revenue_cagr,ebitda_cagr,revenue_qoq,ebitda_qoq,revenue_accel,margin_accel,lastPrice,priceVs50dMA,priceVs200dMA,priceVs52wHigh,priceVs52wLow,position52w,beta,marketCap,dividendYield,liquidity_flag,score_deep_value,score_momentum_calidad,graham_margin_of_safety,fcf_yield,analyst_upside,trailingPE_vs_historia,priceToBook_vs_historia,rsi_14,current_drawdown,trailingPE,forwardPE,priceToBook,enterpriseToEbitda,returnOnEquity,profitMargins,operatingMargins,revenueGrowth,earningsGrowth,debtToEquity,currentRatio,freeCashflow
T,AT&T Inc.,Communication Services,Telecom Services,67,5.2854946236559135,Neutral,87.1,6.510416666666667,7.541666666666666,4.583333333333334,3.2291666666666665,4.802083333333335,8.333333333333334,0.028213015115693355,0.045802819435994534,0.04604741725225074,0.023795283850190238,0.04041929196366032,,0.9925326961677924,0.9516980436412839,0.11959601326015123,0.17949450802867395,0.005619310247666088,0.012271491803803327,,,26.010000228881836,0.12252385433869217,0.0348531960245817,-0.1268882098394818,0.3076923191996901,0.6181818413011956,0.417,178230558720.0,4.36,False,4.375,5.541666666666666,0.27201108798912643,0.05690382278346033,0.10367242396729837,,,69.09738813114285,-0.08473751409214567,8.584159,10.145413,1.6199552,7.664,0.18339,0.16943,0.24786,0.023,0.062,129.054,0.971,10142000128.0
AUR,"Aurora Innovation, Inc.",Consumer Cyclical,Auto Parts,107,4.998242022667828,Débil,87.1,6.824324324324325,1.4864864864864866,7.5675675675675675,9.527027027027028,4.808108108108109,5.135135135135135,0.028213015115693355,0.045802819435994534,0.04604741725225074,0.023795283850190238,0.04041929196366032,,0.9925326961677924,0.9516980436412839,0.11959601326015123,0.17949450802867395,,,,,5.829999923706055,-0.0861639381622874,0.09858529793352044,-0.3193228343600636,0.6194444232516818,0.44914399269004124,2.661,11684225024.0,2.86,False,2.743243243243243,4.756756756756756,-0.5850328039564341,-0.03545378346866045,0.9238130611964475,,,40.60114361558071,-0.3059523585161644,21.149242,-12.955556,5.9672465,-11.235,-0.45639,0.0,-133.0,1.0,0.081,4.199,11.382,-414249984.0
BBD,Banco Bradesco Sa,Financial Services,Banks - Regional,236,4.327931409168081,Débil,87.1,7.171052631578948,5.052631578947368,2.192982456140351,5.0,4.714035087719299,1.4035087719298245,0.028213015115693355,0.045802819435994534,0.04604741725225074,0.023795283850190238,0.04041929196366032,,0.9925326961677924,0.9516980436412839,0.11959601326015123,0.17949450802867395,,,,,3.25,-0.04826051306079415,-0.1013783473656561,-0.2441860465116279,0.09797297297297303,0.21641791044776124,0.233,34414825472.0,1.38,False,5.280701754385964,2.7280701754385963,0.7440730695566238,0.028638590725150504,0.3992307692307693,,,47.33398253739611,-0.2094211402185332,7.5581393,5.8094845,0.9786745,7.026,0.13763,0.26071,0.34515,0.072,0.178,140.159,1.563,
WBD,"Warner Bros. Discovery, Inc. - ",Communication Services,Entertainment,318,3.693758064516129,Débil,87.1,2.604166666666667,2.9166666666666665,0.625,3.333333333333334,4.802083333333335,4.791666666666667,0.028213015115693355,0.045802819435994534,0.04604741725225074,0.023795283850190238,0.04041929196366032,,0.9925326961677924,0.9516980436412839,0.11959601326015123,0.17949450802867395,-0.029427573839451115,0.027558008438818567,,,28.770000457763672,0.067706803996336,0.059658767700616844,-0.040999984741210915,1.5573333740234374,0.9344000244140624,1.565,72130322432.0,1.84,False,4.59375,6.729166666666666,-0.4730195972301123,0.22414116980055926,0.03643307353349301,,,67.91274720611074,-0.004498240916351014,23.857203,411.0,2.1973574,13.089,-0.08786,-0.08769,0.05105,-0.112,-0.906,94.199,0.777,16167374848.0
NKE,"Nike, Inc.",Consumer Cyclical,Footwear & Accessories,73,5.239473931996512,Neutral,87.1,5.472972972972974,5.8108108108108105,5.743243243243243,7.162162162162162,4.808108108108109,9.864864864864865,0.028213015115693355,0.045802819435994534,0.04604741725225074,0.023795283850190238,0.04041929196366032,,0.9925326961677924,0.9516980436412839,0.11959601326015123,0.17949450802867395,-0.0026867922375414174,0.17382678260869566,,,39.599998474121094,-0.05544269031587579,-0.23931879700719771,-0.48551385638403155,0.03746393696937633,0.03685563077631681,1.118,58746548224.0,4.27,False,4.824324324324325,2.635135135135135,-0.44263012194255624,0.03215933710345514,0.2756982814788158,,,43.53035823066315,-0.34511812209823584,18.333332,17.284046,3.9505186,12.328,0.22138001,0.066989996,0.12687,-0.011,4.28,74.289,1.961,1889250048.0
SNAP,Snap Inc.,Communication Services,Internet Content & Information,199,4.526175403225807,Débil,87.1,6.041666666666666,2.75,7.5,4.479166666666667,4.802083333333335,2.0833333333333335,0.028213015115693355,0.045802819435994534,0.04604741725225074,0.023795283850190238,0.04041929196366032,,0.9925326961677924,0.9516980436412839,0.11959601326015123,0.17949450802867395,,,,,5.429999828338623,0.10793712065672789,-0.0822121850553339,-0.4148707081531656,0.42519680533822135,0.2961608461313754,1.024,9183203328.0,0.31,False,3.0624999999999996,6.197916666666666,-0.5603054963613976,0.07777873999829615,0.3597293247537767,,,54.491916371621265,-0.1367249823100236,17.090237,7.002295,4.7382197,-73.484,-0.15576,-0.04901,-0.026400002,0.189,1.47,219.281,2.936,714257984.0
SKHY,SK hynix Inc.,Technology,Semiconductors,1,6.838060465116279,Buena,87.1,7.877906976744186,9.627906976744185,9.534883720930232,6.802325581395349,4.6924418604651175,5.6976744186046515,0.04467216432105656,0.0674946675259955,0.05133461160421361,6.216447174862654e-05,0.04041929196366032,,0.9937798417789561,0.9516980436412839,0.19457916211715465,0.3061679427359544,,,,,161.0399932861328,0.03518872548124996,0.03518872548124996,-0.17330598929089935,0.2903845615876026,0.5177141898018972,2.395,1143150215168.0,1.045,False,6.633720930232558,6.261627906976744,-0.3835650278946856,48.78457667587299,0.5335874956302953,,,52.57439406962753,-0.16955448222605213,9.79562,4.777701,6.0447183,-0.456,0.92679,0.85619,0.76328003,2.568,12.724,8.037,2.591,55768099323904.0
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,174,4.631787396849212,Débil,87.1,4.607558139534883,7.209302325581394,3.662790697674419,1.86046511627907,4.6924418604651175,8.19767441860465,0.03498431419292157,0.0674946675259955,0.0547580711232026,-0.0357598174904943,0.06878523334493804,,0.9858267907676378,0.9461341871609297,0.14987804346150302,0.30720510309832627,0.04245549360691966,0.09719609425070688,,,109.93000030517578,-0.047000645806596686,0.17057266064015497,-0.15678453397886183,0.6623317753693603,0.6818181865687388,1.002,433281925120.0,1.53,False,4.273255813953488,5.023255813953488,-0.7219862647881015,0.026698551980436695,0.25297134192325554,,,41.44157831881873,-0.1512211992398144,33.72086,19.638422,8.632794,24.038,0.27319,0.20951,0.27701,0.176,0.52,58.731,0.931,11568000000.0
QXO,"QXO, Inc.",Industrials,Industrial Distribution,259,4.214111910669976,Débil,87.1,5.4326923076923075,3.4615384615384617,5.865384615384615,6.538461538461538,4.790384615384617,4.038461538461538,0.028213015115693355,0.045802819435994534,0.04604741725225074,0.023795283850190238,0.04041929196366032,,0.9925326961677924,0.9516980436412839,0.11959601326015123,0.17949450802867395,,,,,13.520000457763672,-0.09481658937590065,-0.2970122784827699,-0.5103223303961002,0.02813691694020326,0.025587860149631502,2.302,14026874880.0,1.09,False,2.423076923076923,2.596153846153846,-0.729504294664411,-0.18169228697076678,1.153188536564239,,,43.13159496790353,-0.45919998168945314,35.206776,20.914225,1.052222,36.25,-0.04596,-0.05167,-0.0092400005,0.703,0.0445,57.031,4.115,-2548574976.0
BAC,Bank of America Corporation,Financial Services,Banks - Diversified,105,5.0403824561403505,Neutral,87.1,5.504385964912282,5.43859649122807,5.43859649122807,5.0,4.714035087719299,4.2105263157894735,0.028213015115693355,0.045802819435994534,0.04604741725225074,0.023795283850190238,0.04041929196366032,,0.9925326961677924,0.9516980436412839,0.11959601326015123,0.17949450802867395,0.039611260123761316,,,,62.31999969482422,0.01958679404124508,0.14065552358274602,-0.04461137981259822,0.35125758228153137,0.8477236888971332,1.168,435788087296.0,2.05,False,4.5438596491228065,6.666666666666666,0.002562204774294141,0.028638590725150504,0.10354188602012604,,,50.857441240628475,-0.03841996539991167,14.131519,11.76886,1.5840578,7.026,0.111990005,0.29524,0.38305,0.168,0.341,140.159,1.563,
