ticker,shortName,sector,industry,lastPrice,rank_overall,rank_raw,score_FINAL_adj,score_FINAL,rating,data_completeness_pct,metrics_with_data,metrics_total,score_valuation,score_profitability,score_growth,score_financial_health,score_trailingPE,score_forwardPE,score_trailingPegRatio,score_priceToBook,score_priceToSalesTrailing12Months,score_enterpriseToEbitda,score_returnOnEquity,score_returnOnAssets,score_profitMargins,score_grossMargins,score_operatingMargins,score_ebitdaMargins,score_revenueGrowth,score_earningsGrowth,score_earningsQuarterlyGrowth,score_debtToEquity,score_currentRatio,score_quickRatio,score_freeCashflow
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,47.26499938964844,204,231,5.12,5.12,🔶 Neutral,100.0,19,19,8.41,5.69,1.17,4.43,9.31,9.1,7.59,7.23,8.0,9.21,5.76,4.45,4.41,7.38,6.0,7.7,2.07,0.65,0.71,1.66,2.37,4.43,9.79
LH,Labcorp Holdings Inc.,Healthcare,Diagnostics & Research,275.489990234375,204,231,5.12,5.12,🔶 Neutral,100.0,19,19,6.42,2.93,5.69,5.18,4.39,6.6,7.87,5.89,7.61,6.26,3.05,4.58,2.11,2.28,2.24,2.67,3.81,6.62,6.8,4.43,6.6,6.73,3.44
MTB,M&T Bank Corporation,Financial Services,Banks - Regional,218.25999450683594,204,145,5.12,5.56,🔶 Neutral,73.7,14,19,7.06,3.68,5.6,5.6,9.1,8.36,4.62,8.73,4.11,7.16,2.73,0.8,9.2,0.23,9.29,0.36,3.25,7.27,6.37,7.22,3.66,4.09,6.78
OTIS,Otis Worldwide Corporation,Industrials,Specialty Industrial Machinery,79.45500183105469,208,192,5.11,5.28,🔶 Neutral,89.5,17,19,5.98,5.0,5.06,4.85,6.17,5.5,4.04,9.46,6.75,4.13,5.91,8.97,3.38,2.56,3.59,3.12,2.65,6.38,6.34,6.79,2.01,4.34,5.79
WAT,Waters Corporation,Healthcare,Diagnostics & Research,317.69500732421875,208,234,5.11,5.11,🔶 Neutral,100.0,19,19,3.42,7.9,3.86,5.71,3.68,3.61,7.16,2.13,0.8,0.9,7.81,8.58,7.63,7.42,8.52,7.42,4.4,3.42,3.74,6.39,7.63,7.5,1.55
PRU,"Prudential Financial, Inc.",Financial Services,Insurance - Life,97.19000244140625,208,192,5.11,5.28,🔶 Neutral,89.5,17,19,9.11,2.04,4.27,4.87,9.64,9.7,7.85,9.07,9.36,9.08,3.38,0.28,2.07,2.39,2.19,1.48,9.45,1.56,1.39,2.58,2.4,5.61,9.51
REG,Regency Centers Corporation,Real Estate,REIT - Retail,77.80999755859375,211,237,5.09,5.09,🔶 Neutral,100.0,19,19,2.91,5.98,8.45,3.05,4.17,0.93,2.42,6.71,1.01,2.52,1.93,2.26,9.38,8.71,9.0,9.61,6.21,9.66,9.64,5.7,0.95,2.62,2.32
APO,"Apollo Global Management, Inc. ",Financial Services,Asset Management,106.11000061035156,211,196,5.09,5.26,🔶 Neutral,89.5,17,19,7.75,3.07,3.87,6.02,7.31,8.62,9.38,5.72,7.08,7.67,4.45,0.77,3.89,3.66,4.39,0.36,9.91,0.58,0.66,3.36,7.42,8.84,5.54
FCX,"Freeport-McMoRan, Inc.",Basic Materials,Copper,65.31500244140625,213,240,5.08,5.08,🔶 Neutral,100.0,19,19,3.13,4.6,6.08,7.34,1.42,4.45,0.97,3.21,3.98,6.82,4.26,6.75,2.88,3.57,3.23,7.53,1.34,8.64,8.64,8.15,8.73,6.36,5.76
PPG,"PPG Industries, Inc.",Basic Materials,Specialty Chemicals,109.94999694824219,213,199,5.08,5.25,🔶 Neutral,89.5,17,19,7.14,4.77,3.81,4.82,8.13,7.21,7.12,4.69,7.76,7.81,6.58,6.22,3.46,4.39,2.43,2.86,3.48,4.02,3.96,3.5,7.23,7.45,1.89
