ticker,shortName,sector,industry,lastPrice,rank_overall,rank_raw,score_FINAL_adj,score_FINAL,rating,data_completeness_pct,metrics_with_data,metrics_total,score_valuation,score_profitability,score_growth,score_financial_health,score_trailingPE,score_forwardPE,score_trailingPegRatio,score_priceToBook,score_priceToSalesTrailing12Months,score_enterpriseToEbitda,score_returnOnEquity,score_returnOnAssets,score_profitMargins,score_grossMargins,score_operatingMargins,score_ebitdaMargins,score_revenueGrowth,score_earningsGrowth,score_earningsQuarterlyGrowth,score_debtToEquity,score_currentRatio,score_quickRatio,score_freeCashflow
LHX,"L3Harris Technologies, Inc.",Industrials,Aerospace & Defense,361.2349853515625,335,315,4.43,4.81,⚠️ Débil,73.7,14,19,2.33,4.09,7.28,6.36,1.46,1.42,3.35,4.34,2.62,0.39,6.78,4.08,3.61,2.5,1.96,2.82,9.98,2.92,9.23,8.13,4.65,6.18,6.1
ERIE,Erie Indemnity Company,Financial Services,Insurance Brokers,251.80499267578125,335,373,4.43,4.5,⚠️ Débil,94.7,18,19,4.89,5.85,1.2,6.34,5.81,4.19,6.27,2.9,5.42,3.87,7.55,9.18,5.87,1.2,4.09,3.64,2.41,0.54,0.56,9.83,5.76,7.59,1.74
EFX,"Equifax, Inc.",Industrials,Consulting Services,185.7899932861328,335,386,4.43,4.43,⚠️ Débil,100.0,19,19,4.63,5.21,4.97,2.49,2.37,4.17,8.64,3.33,3.83,5.21,4.15,6.06,3.85,7.03,4.37,7.01,6.38,4.21,4.22,3.03,0.92,2.37,3.51
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,153.5749969482422,338,390,4.42,4.42,⚠️ Débil,100.0,19,19,5.72,3.22,1.93,7.1,6.07,5.66,3.78,6.13,7.01,6.5,3.29,4.36,3.07,2.65,1.88,3.29,1.38,2.35,2.08,9.01,4.45,4.56,9.48
TT,Trane Technologies plc,Industrials,Building Products & Equipment,448.6199951171875,339,392,4.41,4.41,⚠️ Débil,100.0,19,19,2.26,6.26,3.81,6.07,2.49,1.33,3.55,1.35,2.92,1.44,8.56,8.62,5.85,3.36,3.57,3.63,3.81,3.83,3.77,6.17,5.68,6.02,6.39
DOV,Dover Corporation,Industrials,Specialty Industrial Machinery,215.61000061035156,340,394,4.39,4.39,⚠️ Débil,100.0,19,19,4.02,5.33,2.3,6.39,4.28,3.78,4.36,3.85,4.02,3.53,5.38,6.65,5.77,4.11,4.41,4.43,6.16,0.22,0.22,7.01,7.79,7.85,3.08
JCI,Johnson Controls International ,Industrials,Building Products & Equipment,139.1199951171875,340,394,4.39,4.39,⚠️ Débil,100.0,19,19,2.36,4.23,6.64,4.84,1.2,1.83,2.97,2.45,4.09,1.78,3.85,4.6,6.02,3.44,3.29,2.97,4.4,8.03,7.63,5.35,2.84,3.25,7.51
LEN,Lennar Corporation,Consumer Cyclical,Residential Construction,89.46499633789062,342,381,4.38,4.45,⚠️ Débil,94.7,18,19,7.36,2.0,0.47,8.12,9.08,7.7,1.64,9.14,9.12,9.38,2.02,3.64,1.96,1.18,0.71,1.29,0.13,0.68,0.62,8.71,9.98,9.93,4.1
ZBRA,Zebra Technologies Corporation,Technology,Communication Equipment,222.72000122070312,342,397,4.38,4.38,⚠️ Débil,100.0,19,19,6.74,4.18,2.78,3.09,4.22,7.91,9.61,4.99,6.92,6.09,3.46,6.09,2.67,5.98,3.4,3.27,6.82,0.62,0.6,4.5,2.69,2.5,2.26
KO,Coca-Cola Company (The),Consumer Defensive,Beverages - Non-Alcoholic,76.73500061035156,344,398,4.37,4.37,⚠️ Débil,100.0,19,19,2.28,8.11,3.66,3.72,4.75,2.47,0.92,1.57,1.7,1.66,9.01,7.75,8.64,7.74,6.9,7.33,2.23,4.39,4.49,2.21,6.76,6.15,0.54
TLT,iShares 20+ Year Treasury Bond ,,,86.94999694824219,344,153,4.37,5.53,⚠️ Débil,10.5,2,19,6.67,4.98,5.14,4.98,4.99,9.98,5.24,9.36,4.99,4.75,4.91,5.01,5.01,5.01,5.01,5.01,5.04,5.22,5.15,4.89,5.19,5.17,4.72
MRNA,"Moderna, Inc.",Healthcare,Biotechnology,51.72999954223633,344,341,4.37,4.66,⚠️ Débil,78.9,15,19,6.73,0.03,4.71,7.26,5.68,9.93,7.81,6.32,0.69,9.94,0.06,0.02,0.02,0.02,0.02,0.02,0.05,7.25,7.18,9.25,9.5,9.78,0.62
LKQ,LKQ Corporation,Consumer Cyclical,Auto Parts,29.549999237060547,347,386,4.36,4.43,⚠️ Débil,94.7,18,19,8.72,2.65,1.19,4.29,9.12,9.18,7.2,8.86,9.35,8.87,2.58,3.91,1.68,3.93,1.27,1.72,2.34,0.56,0.58,4.37,7.46,2.25,2.65
HPE,Hewlett Packard Enterprise Comp,Technology,Communication Equipment,24.895000457763672,347,386,4.36,4.43,⚠️ Débil,94.7,18,19,7.66,1.22,3.87,4.31,3.65,9.01,8.58,8.6,8.73,8.13,0.5,0.93,0.54,2.79,1.61,2.21,8.54,1.35,1.36,3.81,3.15,2.67,7.38
ED,"Consolidated Edison, Inc.",Utilities,Utilities - Regulated Electric,112.625,349,399,4.35,4.35,⚠️ Débil,100.0,19,19,5.57,4.08,4.21,3.01,7.03,4.43,2.07,7.74,6.39,7.44,2.26,2.34,4.27,6.65,4.28,7.63,6.21,2.79,3.53,2.8,3.05,5.8,0.97
APTV,Aptiv PLC,Consumer Cyclical,Auto Parts,60.85499954223633,349,399,4.35,4.35,⚠️ Débil,100.0,19,19,7.28,2.19,1.76,5.89,0.43,9.03,9.07,8.43,8.93,9.68,0.69,5.91,0.71,1.46,2.13,2.65,3.48,0.86,0.8,3.93,7.64,7.63,5.12
EMR,Emerson Electric Company,Industrials,Specialty Industrial Machinery,144.1999969482422,351,401,4.34,4.34,⚠️ Débil,100.0,19,19,3.68,5.25,3.97,4.66,2.32,3.2,5.66,3.79,3.1,4.06,2.64,6.37,4.6,6.62,6.84,7.21,3.0,4.54,4.44,5.72,1.91,2.77,7.64
FXI,iShares China Large-Cap ETF,,,36.40999984741211,351,159,4.34,5.5,⚠️ Débil,10.5,2,19,6.57,4.98,5.14,4.98,9.61,4.99,5.24,9.21,4.99,4.75,4.91,5.01,5.01,5.01,5.01,5.01,5.04,5.22,5.15,4.89,5.19,5.17,4.72
CLX,Clorox Company (The),Consumer Defensive,Household & Personal Products,106.87000274658203,351,401,4.34,4.34,⚠️ Débil,100.0,19,19,6.6,6.41,1.78,1.55,7.74,5.74,3.57,9.93,7.14,6.36,9.96,8.49,3.91,5.4,3.1,3.23,1.52,1.95,1.89,0.0,1.38,1.59,3.53
PFG,Principal Financial Group Inc,Financial Services,Asset Management,93.48999786376953,354,393,4.33,4.4,⚠️ Débil,94.7,18,19,8.16,2.63,0.91,5.32,7.67,9.05,8.31,7.64,8.26,7.67,3.07,0.21,2.58,5.42,3.14,1.76,0.89,0.93,0.92,8.11,6.86,1.27,3.68
DD,"DuPont de Nemours, Inc.",Basic Materials,Specialty Chemicals,47.22999954223633,355,364,4.32,4.54,⚠️ Débil,84.2,16,19,4.45,2.16,3.81,8.54,0.11,3.85,4.79,8.47,5.91,5.44,0.58,1.1,0.17,3.12,8.67,4.3,3.48,4.02,3.96,8.77,8.82,6.5,9.61
CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,Restaurants,34.08000183105469,355,407,4.32,4.32,⚠️ Débil,100.0,19,19,2.86,6.51,3.97,4.23,3.61,1.81,4.15,0.97,3.79,2.3,9.14,9.07,5.43,4.09,3.44,3.68,3.36,4.46,4.09,1.57,5.64,7.27,3.57
KHC,The Kraft Heinz Company,Consumer Defensive,Packaged Foods,22.875,355,394,4.32,4.39,⚠️ Débil,94.7,18,19,8.73,1.94,0.54,5.75,9.37,8.13,8.24,9.35,8.5,8.99,0.22,2.77,0.09,2.92,4.18,4.54,0.95,0.3,0.34,6.77,4.47,3.59,7.53
CMS,CMS Energy Corporation,Utilities,Utilities - Regulated Electric,78.25,358,408,4.31,4.31,⚠️ Débil,100.0,19,19,4.65,4.18,6.1,1.73,6.32,3.76,1.63,5.83,6.04,5.33,3.17,2.24,4.56,4.34,6.19,7.59,7.47,4.77,6.07,1.38,2.79,2.47,0.49
AVY,Avery Dennison Corporation,Consumer Cyclical,Packaging & Containers,175.27999877929688,358,408,4.31,4.31,⚠️ Débil,100.0,19,19,5.65,4.86,3.4,2.76,7.05,5.91,4.07,2.6,7.87,6.77,7.91,7.29,2.69,2.26,2.73,2.71,2.93,3.79,3.5,1.63,4.21,3.42,2.13
EWZ,iShares MSCI Brazil ETF,,,39.48500061035156,358,165,4.31,5.45,⚠️ Débil,10.5,2,19,6.41,4.98,5.14,4.98,8.99,4.99,5.24,8.97,4.99,4.75,4.91,5.01,5.01,5.01,5.01,5.01,5.04,5.22,5.15,4.89,5.19,5.17,4.72
CRWD,"CrowdStrike Holdings, Inc.",Technology,Software - Infrastructure,429.3599853515625,361,370,4.3,4.51,⚠️ Débil,84.2,16,19,2.27,1.58,7.45,7.87,4.48,0.11,1.38,0.41,0.07,9.98,0.39,0.06,0.39,9.01,0.39,0.06,9.07,6.72,6.42,9.08,7.76,8.77,5.81
OXY,Occidental Petroleum Corporatio,Energy,Oil & Gas E&P,58.849998474121094,361,383,4.3,4.44,⚠️ Débil,89.5,17,19,4.18,3.88,5.16,4.65,1.38,4.22,1.21,6.75,6.11,8.84,1.38,1.81,3.81,8.54,2.15,9.16,9.96,2.72,2.41,6.13,2.52,2.71,6.56
OMC,Omnicom Group Inc.,Communication Services,Advertising Agencies,76.9800033569336,363,373,4.29,4.5,⚠️ Débil,84.2,16,19,6.22,1.67,5.07,4.73,5.88,9.76,0.15,6.97,8.09,8.0,0.56,3.01,0.56,1.36,3.35,2.73,9.31,2.81,2.76,3.83,2.5,4.28,8.41
WRB,W.R. Berkley Corporation,Financial Services,Insurance - Property & Casualty,66.86000061035156,364,414,4.28,4.28,⚠️ Débil,100.0,19,19,5.95,4.41,1.77,4.75,8.43,6.84,0.28,5.94,7.46,8.34,6.41,2.9,4.32,4.58,3.83,2.99,1.97,1.66,1.64,8.28,0.43,0.79,8.0
TRGP,"Targa Resources, Inc.",Energy,Oil & Gas Midstream,239.72000122070312,365,401,4.27,4.34,⚠️ Débil,94.7,18,19,3.31,6.44,6.07,1.08,4.07,2.64,2.83,0.86,5.63,4.24,9.2,7.46,3.96,3.79,6.41,6.5,0.5,9.21,8.9,0.39,1.2,2.17,0.92
NWS,News Corporation,Communication Services,Entertainment,28.649999618530273,365,401,4.27,4.34,⚠️ Débil,94.7,18,19,3.64,3.86,2.96,7.71,2.02,2.26,0.32,7.38,7.29,5.23,1.52,3.21,5.71,7.09,4.07,2.23,3.7,2.49,2.64,8.36,7.86,8.74,5.95
CAT,"Caterpillar, Inc.",Industrials,Farm & Heavy Construction Machinery,766.155029296875,365,415,4.27,4.27,⚠️ Débil,100.0,19,19,1.96,5.91,4.45,5.45,1.55,1.18,3.96,0.9,2.58,0.95,9.03,7.12,5.63,2.3,3.72,3.91,8.49,2.31,2.22,1.25,6.66,6.04,8.82
CRL,Charles River Laboratories Inte,Healthcare,Diagnostics & Research,176.05499267578125,368,378,4.26,4.47,⚠️ Débil,84.2,16,19,6.6,1.86,4.62,4.33,3.85,6.58,9.96,5.76,6.71,6.49,0.37,3.57,0.37,3.18,0.8,4.24,1.52,6.3,6.29,4.09,5.82,5.75,2.0
HAS,"Hasbro, Inc.",Consumer Cyclical,Leisure,93.48500061035156,369,379,4.25,4.46,⚠️ Débil,84.2,16,19,4.58,4.11,5.31,3.64,5.47,6.22,3.16,0.43,6.06,6.39,0.04,8.43,0.22,8.04,5.93,5.76,9.48,3.07,3.07,0.34,6.41,7.72,1.57
INVH,Invitation Homes Inc.,Real Estate,REIT - Residential,25.71500015258789,370,408,4.24,4.31,⚠️ Débil,94.7,18,19,3.34,5.02,3.82,5.47,4.32,0.64,2.42,7.81,2.21,3.64,1.42,1.63,7.94,7.27,7.33,9.25,3.08,4.21,4.22,3.78,8.84,5.93,3.78
YPF,YPF Sociedad Anonima,Energy,Oil & Gas Integrated,42.62200164794922,371,368,4.23,4.52,⚠️ Débil,78.9,15,19,7.08,1.92,6.06,2.0,6.28,9.42,1.06,8.28,9.98,9.89,0.26,3.46,0.28,2.17,2.02,5.81,9.53,3.83,4.61,3.29,2.11,2.42,0.02
GIS,"General Mills, Inc.",Consumer Defensive,Packaged Foods,36.70500183105469,371,419,4.23,4.23,⚠️ Débil,100.0,19,19,6.43,5.03,2.15,2.54,9.74,7.89,0.22,4.22,8.56,9.44,7.18,5.44,4.3,2.84,5.44,3.2,2.18,2.01,2.29,1.12,0.77,1.07,7.18
XLF,State Street Financial Select S,,,51.130001068115234,373,176,4.22,5.34,⚠️ Débil,10.5,2,19,6.06,4.98,5.14,4.98,7.81,4.99,5.24,8.19,4.99,4.75,4.91,5.01,5.01,5.01,5.01,5.01,5.04,5.22,5.15,4.89,5.19,5.17,4.72
IP,International Paper Company,Consumer Cyclical,Packaging & Containers,36.790000915527344,373,386,4.22,4.43,⚠️ Débil,84.2,16,19,7.3,1.15,4.4,4.24,5.41,7.14,6.17,8.65,8.8,9.42,0.09,1.6,0.13,2.45,1.29,2.84,9.76,1.24,1.84,5.51,5.78,3.33,1.93
ARE,Alexandria Real Estate Equities,Real Estate,REIT - Office,45.220001220703125,373,370,4.22,4.51,⚠️ Débil,78.9,15,19,6.1,3.09,2.37,6.55,3.14,9.94,2.42,9.38,6.22,6.56,0.3,0.62,0.06,8.47,6.49,9.64,0.71,3.15,3.41,5.93,7.21,8.24,5.29
STZ,"Constellation Brands, Inc.",Consumer Defensive,Beverages - Brewers,152.11000061035156,373,420,4.22,4.22,⚠️ Débil,100.0,19,19,5.06,6.07,1.39,4.19,5.61,7.42,0.54,4.36,6.02,7.87,4.39,7.53,4.22,6.52,8.58,7.87,0.35,1.98,1.91,2.3,6.17,1.7,6.47
MSTU,T-Rex 2X Long MSTR Daily Target,,,4.480000019073486,377,178,4.21,5.33,⚠️ Débil,5.3,1,19,6.01,4.98,5.14,4.98,9.94,4.99,5.24,4.99,4.99,4.75,4.91,5.01,5.01,5.01,5.01,5.01,5.04,5.22,5.15,4.89,5.19,5.17,4.72
LIN,Linde plc,Basic Materials,Specialty Chemicals,495.8399963378906,378,423,4.2,4.2,⚠️ Débil,100.0,19,19,2.38,6.86,3.01,5.07,2.54,1.7,3.12,2.58,1.76,2.56,6.07,6.73,7.61,6.09,7.59,8.02,3.93,2.54,2.49,5.53,2.15,3.7,8.52
LII,"Lennox International, Inc.",Industrials,Building Products & Equipment,477.05499267578125,378,423,4.2,4.2,⚠️ Débil,100.0,19,19,5.0,7.0,1.27,3.17,6.65,4.15,7.27,1.12,5.44,4.04,9.55,9.5,6.39,2.95,5.61,4.32,0.23,1.89,1.76,1.93,7.12,2.45,1.31
CPT,Camden Property Trust,Real Estate,REIT - Residential,102.20999908447266,378,415,4.2,4.27,⚠️ Débil,94.7,18,19,2.84,5.12,7.09,1.82,3.89,0.19,2.42,6.11,1.78,3.57,2.22,1.18,8.34,7.76,5.63,9.31,2.18,9.74,9.74,3.76,0.02,0.04,2.71
CL,Colgate-Palmolive Company,Consumer Defensive,Household & Personal Products,85.2699966430664,381,405,4.19,4.33,⚠️ Débil,89.5,17,19,3.57,7.34,3.4,2.85,2.93,3.01,6.6,0.0,4.43,3.96,9.94,9.44,3.66,7.64,5.89,5.01,3.93,3.07,3.18,0.04,1.89,2.06,7.81
AZO,"AutoZone, Inc.",Consumer Cyclical,Auto Parts,3454.64990234375,381,405,4.19,4.33,⚠️ Débil,89.5,17,19,5.32,4.54,4.36,2.55,5.51,3.4,4.26,9.68,5.83,3.59,0.69,8.56,4.45,6.47,3.81,4.13,5.89,3.5,3.59,3.93,2.21,0.34,3.01
NCLH,Norwegian Cruise Line Holdings ,Consumer Cyclical,Travel Services,20.385000228881836,383,418,4.18,4.25,⚠️ Débil,94.7,18,19,7.73,4.3,3.19,0.29,6.11,9.5,9.63,3.61,8.69,8.43,7.04,4.02,1.63,4.47,1.68,5.78,4.25,4.79,0.09,0.26,0.13,0.26,0.5
PH,Parker-Hannifin Corporation,Industrials,Specialty Industrial Machinery,970.114990234375,384,426,4.16,4.16,⚠️ Débil,100.0,19,19,1.64,6.55,3.9,5.3,2.28,1.05,1.1,1.91,2.17,1.48,7.48,7.85,6.77,3.68,6.21,5.85,6.33,2.64,2.53,5.76,4.6,2.92,7.36
RTX,RTX Corporation,Industrials,Aerospace & Defense,203.17999267578125,384,426,4.16,4.16,⚠️ Débil,100.0,19,19,2.53,2.69,6.39,5.64,1.53,1.25,1.94,3.64,5.57,2.02,3.21,3.08,2.6,1.55,2.38,2.8,7.34,5.68,6.11,6.5,3.07,3.45,8.93
CSGP,"CoStar Group, Inc.",Real Estate,Real Estate Services,39.56999969482422,384,426,4.16,4.16,⚠️ Débil,100.0,19,19,3.93,1.9,4.21,7.29,0.0,2.45,9.94,6.99,2.64,0.11,0.54,0.11,0.58,9.31,1.1,1.16,9.24,1.44,1.57,9.29,9.21,9.59,1.14
CTVA,"Corteva, Inc.",Basic Materials,Agricultural Inputs,84.1500015258789,384,412,4.16,4.3,⚠️ Débil,89.5,17,19,4.37,2.78,3.04,7.66,1.16,2.95,7.4,6.36,4.62,4.22,1.23,3.1,2.15,5.87,1.12,4.26,1.28,4.02,3.96,9.36,6.62,6.34,7.72
DOC,"Healthpeak Properties, Inc.",Real Estate,REIT - Healthcare Facilities,16.864500045776367,388,420,4.15,4.22,⚠️ Débil,94.7,18,19,2.77,3.2,7.37,3.75,0.15,0.06,2.42,8.06,3.35,5.36,0.6,0.95,1.08,7.61,5.75,9.27,2.51,9.98,9.98,2.67,4.82,3.53,4.13
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,307.2749938964844,388,429,4.15,4.15,⚠️ Débil,100.0,19,19,6.61,2.15,2.63,4.84,5.91,5.98,8.21,5.51,9.21,3.81,3.83,3.14,1.14,1.33,0.37,0.99,7.47,0.02,0.02,4.15,1.68,3.83,9.64
TGT,Target Corporation,Consumer Defensive,Discount Stores,121.69000244140625,390,430,4.14,4.14,⚠️ Débil,100.0,19,19,6.2,3.74,2.58,3.52,8.45,6.56,1.31,4.37,9.4,8.73,7.29,5.4,1.44,2.19,0.93,1.31,1.34,3.2,3.32,2.54,2.54,1.31,7.44
KWEB,KraneShares CSI China Internet ,,,29.325000762939453,390,201,4.14,5.24,⚠️ Débil,5.3,1,19,5.72,4.98,5.14,4.98,8.49,4.99,5.24,4.99,4.99,4.75,4.91,5.01,5.01,5.01,5.01,5.01,5.04,5.22,5.15,4.89,5.19,5.17,4.72
CZR,"Caesars Entertainment, Inc.",Consumer Cyclical,Resorts & Casinos,26.760000228881836,390,390,4.14,4.42,⚠️ Débil,78.9,15,19,6.16,2.87,6.01,1.74,2.61,2.3,8.35,8.13,9.5,8.62,0.24,3.29,0.32,6.22,4.6,6.97,3.06,7.8,7.36,0.28,1.74,3.02,2.47
HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical,Lodging,315.7250061035156,390,415,4.14,4.27,⚠️ Débil,89.5,17,19,3.3,8.45,2.22,3.07,1.01,0.95,6.75,9.55,0.26,0.86,7.04,8.04,9.07,9.2,9.57,9.36,4.5,0.99,0.99,2.38,1.18,2.85,5.98
EXPD,Expeditors International of Was,Industrials,Integrated Freight & Logistics,145.72999572753906,394,431,4.13,4.13,⚠️ Débil,100.0,19,19,3.5,4.89,1.76,7.08,5.36,2.39,1.01,1.96,7.4,3.42,8.37,9.01,2.5,1.01,1.74,1.64,0.99,2.28,2.06,8.86,7.83,8.82,2.8
LW,"Lamb Weston Holdings, Inc.",Consumer Defensive,Packaged Foods,41.400001525878906,395,432,4.12,4.12,⚠️ Débil,100.0,19,19,7.5,3.85,1.13,3.11,7.29,6.82,8.93,4.65,8.75,8.82,5.85,6.21,1.78,1.64,2.34,3.14,2.41,0.43,0.45,1.1,6.79,2.81,2.07
ROL,"Rollins, Inc.",Consumer Cyclical,Personal Services,54.66999816894531,396,433,4.1,4.1,⚠️ Débil,100.0,19,19,0.92,7.08,6.25,2.44,1.05,0.5,0.93,0.71,1.66,0.71,8.65,9.29,6.0,6.6,4.24,4.49,6.55,5.94,6.25,4.45,0.9,1.97,1.94
AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,111.93499755859375,396,433,4.1,4.1,⚠️ Débil,100.0,19,19,4.58,5.08,4.83,1.24,6.67,3.64,1.89,6.47,3.91,5.85,3.36,2.11,6.75,6.17,6.86,8.52,0.45,7.07,7.33,2.0,1.16,1.1,0.52
HYG,iShares iBoxx $ High Yield Corp,,,80.16000366210938,398,216,4.09,5.18,⚠️ Débil,15.8,3,19,5.53,4.98,5.14,4.98,9.42,0.0,5.24,9.18,4.99,4.75,4.91,5.01,5.01,5.01,5.01,5.01,5.04,5.22,5.15,4.89,5.19,5.17,4.72
IFF,International Flavors & Fragran,Basic Materials,Specialty Chemicals,73.16000366210938,398,413,4.09,4.29,⚠️ Débil,84.2,16,19,6.53,1.31,2.8,6.51,2.71,6.04,8.67,8.64,7.48,6.24,0.41,1.21,0.41,3.38,0.84,2.95,0.6,4.02,3.96,7.44,6.58,3.38,7.83
AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,115.52999877929688,400,436,4.08,4.08,⚠️ Débil,100.0,19,19,4.5,3.97,2.59,5.44,2.0,6.06,6.95,4.43,3.57,2.97,2.41,2.82,3.78,7.36,3.03,6.41,5.49,1.03,1.04,2.95,8.79,9.25,2.04
EVRG,"Evergy, Inc.",Utilities,Utilities - Regulated Electric,83.16000366210938,400,436,4.08,4.08,⚠️ Débil,100.0,19,19,5.24,4.44,4.84,0.95,6.19,3.98,3.23,7.33,5.46,6.41,2.21,1.93,6.09,6.54,4.26,8.73,4.32,4.52,5.8,1.96,0.62,0.15,0.71
WYNN,"Wynn Resorts, Limited",Consumer Cyclical,Resorts & Casinos,105.18000030517578,400,422,4.08,4.21,⚠️ Débil,89.5,17,19,6.58,4.77,0.99,3.97,2.61,4.13,9.21,9.83,7.79,7.42,4.53,5.59,1.76,8.34,3.61,5.55,1.97,0.5,0.41,0.21,7.31,8.53,1.5
MLM,"Martin Marietta Materials, Inc.",Basic Materials,Building Materials,624.5499877929688,403,438,4.07,4.07,⚠️ Débil,100.0,19,19,2.15,4.83,4.28,5.74,1.93,1.46,1.61,4.11,2.06,2.28,2.88,4.43,7.18,2.62,6.58,7.38,6.05,3.27,3.41,6.45,9.57,6.12,0.75
SW,Smurfit WestRock plc,Consumer Cyclical,Packaging & Containers,42.13999938964844,404,439,4.06,4.06,⚠️ Débil,100.0,19,19,7.6,1.5,1.4,5.26,3.1,7.07,9.79,8.8,9.03,9.33,0.97,2.29,1.03,1.5,1.2,2.54,1.76,1.21,1.21,4.17,6.82,4.5,5.61
JBHT,"J.B. Hunt Transport Services, I",Industrials,Integrated Freight & Logistics,225.10499572753906,404,439,4.06,4.06,⚠️ Débil,100.0,19,19,3.53,3.63,5.15,4.01,2.15,1.68,3.48,2.71,7.36,5.53,5.48,6.47,1.89,1.42,1.64,2.15,1.31,7.46,6.95,7.03,1.87,3.91,2.62
SPY,State Street SPDR S&P 500 ETF T,,,674.6900024414062,406,229,4.05,5.13,⚠️ Débil,10.5,2,19,5.34,4.98,5.14,4.98,4.34,4.99,5.24,8.0,4.99,4.75,4.91,5.01,5.01,5.01,5.01,5.01,5.04,5.22,5.15,4.89,5.19,5.17,4.72
CNP,"CenterPoint Energy, Inc (Holdin",Utilities,Utilities - Regulated Electric,43.349998474121094,407,442,4.04,4.04,⚠️ Débil,100.0,19,19,4.46,4.08,5.71,1.27,4.26,2.92,3.68,6.02,5.61,5.48,2.62,1.94,3.94,5.63,6.09,7.94,6.87,4.62,5.64,1.27,2.34,1.16,0.28
DUK,Duke Energy Corporation (Holdin,Utilities,Utilities - Regulated Electric,131.02000427246094,407,442,4.04,4.04,⚠️ Débil,100.0,19,19,5.04,4.96,4.42,0.94,6.69,3.96,1.91,6.95,5.48,6.6,2.67,1.85,6.44,6.49,7.55,9.1,5.79,3.56,3.83,1.72,0.73,0.65,0.43
EXR,Extra Space Storage Inc,Real Estate,REIT - Industrial,138.6199951171875,409,444,4.03,4.03,⚠️ Débil,100.0,19,19,2.43,5.94,5.28,2.5,3.55,1.03,0.5,6.64,1.05,2.6,1.64,2.52,8.77,9.03,9.42,9.74,3.2,6.64,6.14,3.48,1.49,0.37,4.04
LQD,iShares iBoxx $ Investment Grad,,,109.6050033569336,410,237,4.02,5.09,⚠️ Débil,10.5,2,19,5.22,4.98,5.14,4.98,2.8,4.99,5.24,9.27,4.99,4.75,4.91,5.01,5.01,5.01,5.01,5.01,5.04,5.22,5.15,4.89,5.19,5.17,4.72
ODFL,"Old Dominion Freight Line, Inc.",Industrials,Trucking,207.80999755859375,410,445,4.02,4.02,⚠️ Débil,100.0,19,19,1.42,7.1,1.78,6.89,1.4,0.75,2.15,1.59,1.23,1.33,7.25,9.36,7.23,3.98,6.65,7.08,0.68,2.41,2.34,9.76,6.66,7.98,2.79
TSCO,Tractor Supply Company,Consumer Cyclical,Specialty Retail,45.08000183105469,412,446,4.0,4.0,⚠️ Débil,100.0,19,19,4.75,5.15,3.26,2.36,6.36,3.74,4.3,1.79,7.81,4.34,9.08,7.59,2.45,3.42,1.59,2.04,2.65,3.56,3.62,1.05,6.19,0.21,1.83
PLD,"Prologis, Inc.",Real Estate,REIT - Industrial,137.30999755859375,413,447,3.99,3.99,⚠️ Débil,100.0,19,19,1.55,5.87,4.53,4.64,1.81,0.39,0.04,6.26,0.34,1.08,1.46,1.57,9.64,9.05,9.27,9.83,2.95,4.72,6.14,6.24,0.88,2.11,8.5
QQQ,"Invesco QQQ Trust, Series 1",,,605.5722045898438,414,248,3.98,5.04,⚠️ Débil,10.5,2,19,5.04,4.98,5.14,4.98,3.07,4.99,5.24,7.68,4.99,4.75,4.91,5.01,5.01,5.01,5.01,5.01,5.04,5.22,5.15,4.89,5.19,5.17,4.72
NKE,"Nike, Inc.",Consumer Cyclical,Footwear & Accessories,43.299800872802734,414,450,3.98,3.98,⚠️ Débil,100.0,19,19,4.97,3.59,1.36,6.27,4.0,2.49,8.13,3.42,8.11,3.21,5.53,4.64,1.83,4.21,1.36,1.46,1.72,1.14,1.2,4.22,8.49,7.9,5.2
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,220.9600067138672,414,450,3.98,3.98,⚠️ Débil,100.0,19,19,4.94,2.98,3.91,3.86,1.83,6.26,8.39,6.17,3.18,2.37,1.61,1.38,4.07,4.43,2.21,6.0,9.55,0.79,0.96,6.56,3.37,0.6,3.72
SUPV,Grupo Supervielle S.A.,Financial Services,Banks - Regional,9.779999732971191,414,345,3.98,4.64,⚠️ Débil,52.6,10,19,8.09,0.23,4.15,5.6,8.86,9.51,4.41,8.84,9.91,7.16,0.33,0.09,0.24,0.23,0.07,0.36,0.05,6.67,5.99,7.22,3.66,4.09,6.78
SOXS,Direxion Daily Semiconductor Be,,,27.639999389648438,418,250,3.97,5.03,⚠️ Débil,0.0,0,19,5.02,4.98,5.14,4.98,4.99,4.99,5.24,4.99,4.99,4.75,4.91,5.01,5.01,5.01,5.01,5.01,5.04,5.22,5.15,4.89,5.19,5.17,4.72
BRK.B,,,,,418,250,3.97,5.03,⚠️ Débil,0.0,0,19,5.02,4.98,5.14,4.98,4.99,4.99,5.24,4.99,4.99,4.75,4.91,5.01,5.01,5.01,5.01,5.01,5.04,5.22,5.15,4.89,5.19,5.17,4.72
